,House 11,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004
5:45 AM,0.027999999999999997,0.048,0.024,0.04,0.016,0.048,0.044000000000000004,0.052000000000000005
6:00 AM,0.128,0.168,0.08,0.14800000000000002,0.064,0.17600000000000002,0.168,0.17600000000000002
6:15 AM,0.26,0.324,0.16,0.3,0.152,0.336,0.32799999999999996,0.332
6:30 AM,0.42,0.512,0.324,0.46799999999999997,0.272,0.536,0.524,0.52
6:45 AM,0.612,0.728,0.46399999999999997,0.6759999999999999,0.38799999999999996,0.768,0.748,0.74
7:00 AM,0.828,0.988,0.612,0.9159999999999999,0.516,1.04,1.008,1.008
7:15 AM,1.068,1.276,0.772,1.176,0.648,1.3359999999999999,1.3,1.2919999999999998
7:30 AM,1.3,1.54,0.92,1.432,0.768,1.6119999999999999,1.568,1.564
7:45 AM,1.5719999999999998,1.868,1.0959999999999999,1.724,0.904,1.944,1.8880000000000001,1.8880000000000001
8:00 AM,1.8,2.14,1.244,1.976,1.032,2.224,2.156,2.16
8:15 AM,2.032,2.412,1.3880000000000001,2.224,1.156,2.5,2.428,2.436
8:30 AM,2.2359999999999998,2.656,1.516,2.452,1.272,2.752,2.668,2.6839999999999997
8:45 AM,2.452,2.9160000000000004,1.652,2.6919999999999997,1.38,3.008,2.928,2.9360000000000004
9:00 AM,2.656,3.1519999999999997,1.78,2.892,1.4880000000000002,3.248,3.1519999999999997,3.1719999999999997
9:15 AM,2.824,3.352,1.896,3.076,1.588,3.4560000000000004,3.3480000000000003,3.372
9:30 AM,3.032,3.592,2.056,3.32,1.72,3.708,3.6,3.612
9:45 AM,3.0039999999999996,3.6,2.136,3.324,1.716,3.716,3.572,3.5839999999999996
10:00 AM,2.864,3.4360000000000004,2.6719999999999997,3.2119999999999997,1.796,3.612,3.48,3.468
10:15 AM,2.9,3.38,2.448,3.02,1.912,3.3080000000000003,3.3280000000000003,3.412
10:30 AM,3.7,4.38,3.216,4.0360000000000005,2.824,4.508,4.352,4.388
10:45 AM,3.792,4.492,3.424,4.1160000000000005,3.16,4.6,4.476,4.508
11:00 AM,3.88,4.604,3.864,4.212,3.5639999999999996,4.72,4.5760000000000005,4.6160000000000005
11:15 AM,3.928,4.648,4.268,4.256,3.84,4.76,4.624,4.672
11:30 AM,3.984,4.712,4.632,4.328,3.98,4.776,4.7,4.736000000000001
11:45 AM,4.064,4.816,4.768,4.44,4.064,4.768,4.768,4.84
12:00 PM,4.0760000000000005,4.832,4.772,4.444,4.072,4.772,4.772,4.836
12:15 PM,4.088,4.888,4.768,4.516,4.156000000000001,4.768,4.763999999999999,4.916
12:30 PM,4.12,4.9319999999999995,4.776,4.556,4.184,4.768,4.776,4.96
12:45 PM,4.088,4.868,4.776,4.532,4.156000000000001,4.776,4.776,4.908
1:00 PM,4.104,4.872,4.776,4.524,4.152,4.776,4.776,4.904
1:15 PM,4.084,4.852,4.776,4.484,4.1,4.776,4.776,4.8919999999999995
1:30 PM,4.008,4.788,4.772,4.44,4.092,4.776,4.772,4.852
1:45 PM,3.932,4.736000000000001,4.78,4.412,4.056,4.776,4.744,4.768
2:00 PM,3.88,4.648,4.756,4.332,3.984,4.768,4.664,4.704
2:15 PM,3.804,4.58,4.676,4.244,3.908,4.688,4.5760000000000005,4.6080000000000005
2:30 PM,3.7119999999999997,4.468,4.564,4.136,3.8080000000000003,4.58,4.46,4.512
2:45 PM,3.6039999999999996,4.332,4.4319999999999995,4.024,3.708,4.448,4.343999999999999,4.376
3:00 PM,3.484,4.204,4.288,3.9,3.5839999999999996,4.3,4.196000000000001,4.248
3:15 PM,3.344,4.02,4.096,3.72,3.4160000000000004,4.1080000000000005,4.004,4.052
3:30 PM,3.1919999999999997,3.8480000000000003,3.924,3.552,3.2760000000000002,3.932,3.8480000000000003,3.892
3:45 PM,3.028,3.656,3.74,3.392,3.128,3.748,3.66,3.6919999999999997
4:00 PM,2.852,3.4360000000000004,3.516,3.1919999999999997,2.9360000000000004,3.52,3.448,3.472
