,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,,,0.02,0.012,0.024,0.004,0.027999999999999997,0.024,0.032
5:45 AM,,,0.076,0.052000000000000005,0.08800000000000001,0.04,0.096,0.096,0.096
6:00 AM,,,0.172,0.084,0.196,0.07200000000000001,0.22,0.21600000000000003,0.22
6:15 AM,,,0.316,0.17600000000000002,0.36,0.17600000000000002,0.41200000000000003,0.38799999999999996,0.396
6:30 AM,,,0.52,0.35600000000000004,0.5479999999999999,0.304,0.624,0.596,0.604
6:45 AM,,,0.752,0.52,0.772,0.424,0.88,0.8440000000000001,0.8440000000000001
7:00 AM,,,1.024,0.672,1.04,0.56,1.176,1.136,1.136
7:15 AM,,,1.3119999999999998,0.8240000000000001,1.2919999999999998,0.684,1.464,1.416,1.416
7:30 AM,,,1.624,0.976,1.56,0.812,1.756,1.704,1.7
7:45 AM,,,1.94,1.1320000000000001,1.824,0.94,2.044,1.9880000000000002,1.9880000000000002
8:00 AM,,,2.248,1.284,2.088,1.072,2.3280000000000003,2.2640000000000002,2.2680000000000002
8:15 AM,,,2.552,1.42,2.32,1.1840000000000002,2.58,2.512,2.52
8:30 AM,,,2.8360000000000003,1.56,2.56,1.3,2.84,2.7680000000000002,2.784
8:45 AM,,,3.1039999999999996,1.6840000000000002,2.7880000000000003,1.4,3.088,3.008,3.028
9:00 AM,,,3.36,1.824,3.016,1.52,3.34,3.26,3.2760000000000002
9:15 AM,,,3.58,1.944,3.228,1.624,3.556,3.484,3.4960000000000004
9:30 AM,,,3.7880000000000003,2.06,3.424,1.712,3.7560000000000002,3.688,3.716
9:45 AM,,,3.984,2.168,3.58,1.788,3.952,3.8680000000000003,3.884
10:00 AM,,,4.172,2.252,3.728,1.9,4.096,4.02,4.056
10:15 AM,,,4.316,3.12,3.8960000000000004,2.2640000000000002,4.272,4.212,4.212
10:30 AM,,,4.4639999999999995,3.3160000000000003,3.988,2.7119999999999997,4.3919999999999995,4.308,4.332
10:45 AM,,,4.564,3.4160000000000004,4.104,3.1519999999999997,4.52,4.428,4.44
11:00 AM,,,4.684,3.8560000000000003,4.212,3.532,4.62,4.552,4.572
11:15 AM,,,4.78,4.208,4.196000000000001,3.7560000000000002,4.612,4.544,4.5680000000000005
11:30 AM,,,4.852,4.692,4.4239999999999995,4.0,4.763999999999999,4.744,4.792
11:45 AM,,,4.9239999999999995,4.724,4.416,3.9560000000000004,4.708,4.676,4.7
12:00 PM,,,4.992,4.644,4.296,3.892,4.632,4.592,4.652
12:15 PM,,,4.992,4.763999999999999,4.404,3.984,4.76,4.732,4.763999999999999
12:30 PM,,,4.996,4.776,4.468,4.052,4.776,4.772,4.824
12:45 PM,,,4.992,4.74,4.396,3.992,4.732,4.7,4.76
1:00 PM,,,5.0,4.78,4.488,4.072,4.784,4.776,4.876
1:15 PM,,,4.988,4.448,4.204,3.7960000000000003,4.44,4.408,4.456
1:30 PM,,,4.944,4.148,3.78,3.432,4.1160000000000005,4.052,4.064
1:45 PM,,,4.872,4.2,3.8080000000000003,3.464,4.168,4.104,4.1
2:00 PM,,,4.803999999999999,4.712,4.343999999999999,3.952,4.7,4.656000000000001,4.692
2:15 PM,,,4.664,4.508,4.1,3.728,4.492,4.416,4.448
2:30 PM,,,4.556,4.228,3.86,3.492,4.216,4.144,4.164
2:45 PM,,,4.4,4.0360000000000005,3.6919999999999997,3.3360000000000003,4.0,3.9760000000000004,3.972
3:00 PM,,,4.232,4.2,3.832,3.472,4.18,4.132,4.144
3:15 PM,,,4.084,4.0,3.648,3.3080000000000003,3.9760000000000004,3.908,3.96
3:30 PM,,,3.8960000000000004,3.84,3.488,3.168,3.8,3.76,3.78
3:45 PM,,,3.688,3.784,3.44,3.1319999999999997,3.752,3.716,3.736
4:00 PM,,,3.464,3.44,3.128,2.852,3.4160000000000004,3.3680000000000003,3.392
4:15 PM,,,3.228,3.2680000000000002,2.9760000000000004,2.708,3.248,3.196,3.2239999999999998
4:30 PM,,,2.992,2.588,2.34,2.144,2.568,2.516,2.548
4:45 PM,,,2.736,2.592,2.36,2.144,2.568,2.52,2.544
5:00 PM,,,2.472,2.6039999999999996,2.364,2.156,2.588,2.444,2.56
5:15 PM,,,2.204,2.1319999999999997,1.94,1.776,2.12,1.504,2.116
5:30 PM,,,1.936,1.7280000000000002,1.564,1.432,1.724,1.268,1.704
5:45 PM,,,1.632,1.28,1.16,1.0759999999999998,1.2919999999999998,1.008,1.276
6:00 PM,,,1.344,0.74,0.696,0.624,0.76,0.716,0.752
6:15 PM,,,1.052,0.9079999999999999,0.856,0.748,0.92,0.812,0.92
6:30 PM,,,0.7759999999999999,1.024,0.9279999999999999,0.848,1.0,0.7559999999999999,1.048
6:45 PM,,,0.5479999999999999,0.648,0.6,0.532,0.608,0.42,0.672
7:00 PM,,,0.35600000000000004,0.524,0.48,0.42,0.516,0.424,0.508
7:15 PM,,,0.23600000000000002,0.40399999999999997,0.392,0.34,0.43200000000000005,0.38799999999999996,0.428
7:30 PM,,,0.184,0.3,0.29600000000000004,0.252,0.32799999999999996,0.304,0.32799999999999996
7:45 PM,,,0.16,0.21600000000000003,0.21600000000000003,0.18,0.24,0.22,0.24
8:00 PM,,,0.14,0.18,0.17600000000000002,0.14,0.196,0.18,0.2
8:15 PM,,,0.10800000000000001,0.14,0.14400000000000002,0.11599999999999999,0.16,0.14400000000000002,0.16
8:30 PM,,,0.08,0.1,0.10400000000000001,0.08,0.11199999999999999,0.10400000000000001,0.11599999999999999
8:45 PM,,,0.048,0.052000000000000005,0.055999999999999994,0.04,0.064,0.055999999999999994,0.06
9:00 PM,,,0.024,0.036000000000000004,0.032,0.032,0.036000000000000004,0.036000000000000004,0.04
9:15 PM,,,0.0,0.008,0.008,0.004,0.012,0.008,0.008
9:30 PM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9:45 PM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:00 PM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:15 PM,,,0.0,0.0,0.0,,0.0,0.0,0.0
10:30 PM,,,0.0,0.0,0.0,,0.0,0.0,0.0
10:45 PM,,,0.0,0.0,0.0,,0.0,0.0,0.0
11:00 PM,,,0.0,0.0,0.0,,0.0,0.0,0.0
11:15 PM,,,0.0,0.0,0.0,,0.0,,0.0
11:30 PM,,,0.0,0.0,,,,,
11:45 PM,,,0.0,,,,,,
12:00 AM,,,0.0,,,,,,
