,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.004,0.0,,0.0,0.008,0.0,0.008,0.008,0.012
5:45 AM,0.044000000000000004,0.024,,0.04,0.052000000000000005,0.02,0.06,0.06,0.068
6:00 AM,0.10800000000000001,0.06,,0.08,0.132,0.068,0.14800000000000002,0.14,0.14800000000000002
6:15 AM,0.14,0.096,,0.11599999999999999,0.172,0.096,0.188,0.184,0.192
6:30 AM,0.192,0.14,,0.188,0.22399999999999998,0.152,0.244,0.244,0.252
6:45 AM,0.184,0.152,,0.196,0.22,0.16,0.23600000000000002,0.23199999999999998,0.24
7:00 AM,0.24,0.212,,0.272,0.276,0.21600000000000003,0.304,0.3,0.312
7:15 AM,0.32799999999999996,0.28800000000000003,,0.368,0.376,0.304,0.41200000000000003,0.40399999999999997,0.41200000000000003
7:30 AM,0.47600000000000003,0.41200000000000003,,0.512,0.532,0.424,0.588,0.58,0.584
7:45 AM,0.664,0.556,,0.688,0.7440000000000001,0.5760000000000001,0.828,0.8079999999999999,0.816
8:00 AM,0.9359999999999999,0.736,,0.9079999999999999,1.052,0.76,1.16,1.1320000000000001,1.128
8:15 AM,1.244,0.96,,1.1640000000000001,1.376,0.9640000000000001,1.54,1.508,1.508
8:30 AM,0.992,0.812,,1.008,1.0959999999999999,0.852,1.22,1.192,1.196
8:45 AM,0.9520000000000001,0.74,,0.9079999999999999,1.06,0.768,1.176,1.148,1.1520000000000001
9:00 AM,1.6,1.244,,1.5519999999999998,1.8519999999999999,1.084,2.052,1.976,1.9680000000000002
9:15 AM,2.436,1.876,,2.2880000000000003,2.7439999999999998,1.472,3.0439999999999996,2.944,2.94
9:30 AM,3.032,2.34,,2.8080000000000003,3.3680000000000003,1.756,3.736,3.6319999999999997,3.6519999999999997
9:45 AM,3.1319999999999997,2.42,,2.9160000000000004,3.488,1.8319999999999999,3.872,3.7680000000000002,3.792
10:00 AM,3.292,2.536,,3.056,3.6519999999999997,1.952,4.064,3.948,3.972
10:15 AM,3.452,2.6719999999999997,,3.2119999999999997,3.8560000000000003,2.3040000000000003,4.28,4.164,4.2
10:30 AM,3.596,2.7680000000000002,,3.3560000000000003,4.032,2.78,4.4639999999999995,4.332,4.368
10:45 AM,3.688,2.8480000000000003,,3.46,4.128,3.176,4.56,4.428,4.476
11:00 AM,3.772,3.272,,3.8360000000000003,4.196000000000001,3.54,4.644,4.52,4.56
11:15 AM,3.86,3.7439999999999998,,4.308,4.292,3.88,4.76,4.632,4.676
11:30 AM,3.924,3.928,,4.7,4.404,4.048,4.776,4.74,4.788
11:45 AM,3.992,3.968,,4.776,4.456,4.088,4.78,4.763999999999999,4.843999999999999
12:00 PM,4.044,4.0280000000000005,,4.776,4.504,4.136,4.776,4.78,4.8919999999999995
12:15 PM,4.092,4.0760000000000005,,4.776,4.552,4.188,4.776,4.784,4.956
12:30 PM,4.08,4.06,,4.784,4.544,4.176,4.78,4.776,4.936
12:45 PM,4.012,3.992,,4.776,4.512,4.14,4.78,4.776,4.8839999999999995
1:00 PM,4.008,3.984,,4.784,4.492,4.1160000000000005,4.78,4.784,4.868
1:15 PM,3.968,3.952,,4.772,4.4239999999999995,4.056,4.772,4.756,4.816
1:30 PM,3.92,3.9,,4.772,4.368,4.02,4.772,4.704,4.748
1:45 PM,3.844,3.832,,4.736000000000001,4.308,3.9560000000000004,4.76,4.632,4.676
2:00 PM,3.8360000000000003,3.804,,4.636,4.216,3.8680000000000003,4.676,4.56,4.596
2:15 PM,3.74,3.7,,4.512,4.112,3.7680000000000002,4.552,4.44,4.484
2:30 PM,3.608,3.588,,4.404,4.004,3.68,4.428,4.328,4.364
2:45 PM,3.492,3.4560000000000004,,4.268,3.8760000000000003,3.5639999999999996,4.288,4.176,4.212
3:00 PM,3.36,3.332,,4.1080000000000005,3.728,3.428,4.132,4.02,4.06
3:15 PM,3.236,3.22,,3.964,3.592,3.3080000000000003,3.972,3.884,3.904
